date, visitor
"20200201",364000
"20200202",283000
"20200203",646000
"20200204",653000
"20200205",644000
"20200206",652000
"20200207",658000
"20200208",356000
"20200209",277000
"20200210",614000
"20200211",306000
"20200212",644000
"20200213",648000
"20200214",663000
"20200215",362000
"20200216",268000
"20200217",640000
"20200218",642000
"20200219",632000
"20200220",641000
"20200221",645000
"20200222",345000
"20200223",273000
"20200224",276000
"20200225",636000
"20200226",630000
"20200227",622000
"20200228",624000
"20200229",308000
"20200301",230000
"20200302",597000
"20200303",598000
"20200304",581000
"20200305",589000
"20200306",591000
"20200307",293000
"20200308",218000
"20200309",594000
"20200310",589000
"20200311",582000
"20200312",588000
"20200313",595000
"20200314",286000
"20200315",237000
"20200316",601000
"20200317",607000
"20200318",601000
